,Unnamed: 0,model,sim,additional_data,3G,4G,5G,Wi-Fi,VoLTE,Vo5G,NFC,extra_conecctions
165,165,Samsung Galaxy F13,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
166,166,Xiaomi Redmi Note 10S (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
167,167,Realme 10 (8GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
170,170,Letv Y1 Pro,Dual Sim,No FM Radio, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
174,174,Apple iPhone 9,Single Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
176,176,Xiaomi Redmi Note 11SE,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
177,177,Realme Narzo 50,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
180,180,POCO M4 Pro 4G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
182,182,Tecno Spark Go 2023,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
188,188,iKall Z19 Pro,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
189,189,LeEco S1 Pro,Dual Sim,No FM Radio, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
190,190,Realme C2s,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
191,191,Duoqin F22 Pro,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
195,195,Realme C35,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
199,199,Samsung Galaxy M04,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
