,Unnamed: 0,model,sim,additional_data,3G,4G,5G,Wi-Fi,VoLTE,Vo5G,NFC,extra_conecctions
595,595,Realme Narzo 50i (4GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
596,596,Xiaomi Redmi 9 Activ (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
597,597,Jio JioPhone Next (3GB RAM + 32GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
598,598,Xiaomi Redmi Note 8 2021,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
600,600,Vivo Y20G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
602,602,Vivo V21,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
603,603,Realme 7 Pro (8GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
604,604,OnePlus Nord Lite,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
606,606,Apple iPhone 11 Pro Max,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
607,607,Apple iPhone 7s,Single Sim,No FM Radio, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
609,609,Sony Xperia Ace IV,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
610,610,Samsung Galaxy A04e (4GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
612,612,Xiaomi Redmi Note 12 4G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
613,613,Oukitel WP21,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
618,618,Vivo T1 44W (8GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
619,619,Xiaomi Redmi Note 11S (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
621,621,Realme 8i (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
622,622,OPPO A55 4G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
624,624,Realme C21Y,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
625,625,OPPO A16,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
627,627,Nokia 225 4G,Dual Sim,No data, 3G,4G, VoLTE,No data,No data,No data,No data,No data
631,631,Samsung Galaxy Note 20,Dual Sim,No FM Radio, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
632,632,Samsung Galaxy A12,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
633,633,Xiaomi Redmi Note 12 Pro 4G,Dual Sim,No FM Radio, 3G,4G, VoLTE, Wi-Fi, NFC, IR Blaster,No data,No data
635,635,Realme C30s (4GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
638,638,Tecno Camon 19 Pro,Dual Sim,Bluetooth, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
644,644,Vivo Y10,Dual Sim,Bluetooth, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
648,648,Vivo Y33s,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
649,649,Huawei Mate 40 Pro 4G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC, IR Blaster,No data,No data
650,650,Micromax IN 2B,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
655,655,Xiaomi Redmi 9,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
656,656,Apple iPhone SE 2020,Dual Sim,No FM Radio, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
658,658,Letv Y1 Pro Plus,Dual Sim,No FM Radio, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
662,662,Vivo V25e,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
663,663,Infinix Hot 12 Pro,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
666,666,itel Vision 3,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
667,667,OPPO A96 4G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
670,670,Tecno Spark 9T,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
671,671,Infinix Smart 6,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
672,672,Realme C25Y (4GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
673,673,Samsung Galaxy A12 (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
674,674,Tecno Camon 19,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
677,677,Xiaomi Redmi Note 10 (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
678,678,Xiaomi Redmi Note 10 Pro Max,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
681,681,Motorola One Fusion Plus,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
683,683,Samsung Galaxy Note 10 Lite,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
687,687,Samsung Galaxy A04s (4GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
689,689,Vivo Y02 (2GB RAM + 32GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
690,690,itel Vision 3 (2GB RAM + 32GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
694,694,Samsung Galaxy A24,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
695,695,Infinix Note 13 Pro,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
697,697,Infinix Smart 6 Plus,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
701,701,Nokia G21,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
705,705,Vivo Y21s,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
706,706,OPPO F19s,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
707,707,Samsung Galaxy M21 2021,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
708,708,OPPO F19 Pro,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
709,709,OPPO X 2021,Single Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
712,712,Poco M2,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
713,713,OPPO F17 Pro,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
715,715,Samsung Galaxy A50s,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
716,716,Samsung Galaxy Note 10 Plus,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
717,717,Vivo Y15,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
718,718,Vivo S1 Pro,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
725,725,Realme C32,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
726,726,Huawei Mate Xs 2,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC, IR Blaster,No data,No data
728,728,Apple iPhone 15,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
729,729,Infinix Note 11S (8GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
730,730,Tecno Spark 8 (4GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
733,733,Xiaomi Redmi 10 Prime (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
736,736,Huawei P50 Pro 4G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC, IR Blaster,No data,No data
738,738,Nokia C01 Plus,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
743,743,Poco M3,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
744,744,itel S16,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
747,747,Vivo V19 (8GB RAM + 256GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
750,750,Vivo U3,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
751,751,Oppo K5 (8GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
752,752,Realme XT,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
753,753,Vivo Y12 (3GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
755,755,Xiaomi Poco F1 (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
756,756,Poco C50 (3GB RAM + 32GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
758,758,iKall Z19,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
763,763,Tecno Pova Neo 5G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
771,771,Vivo Y15C,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
772,772,Honor X8,Dual Sim,No FM Radio, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
773,773,Samsung Galaxy A03 (4GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
775,775,Vivo Y33T,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
778,778,Tecno Spark Go 2022,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
779,779,Vivo Y21e,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
780,780,Xiaomi Redmi 9A Sport,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
782,782,Vivo Y12G (3GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
783,783,Vivo V23e,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
784,784,Samsung Galaxy F22 (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
786,786,Micromax IN 2C,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
787,787,Samsung Galaxy A03s,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
788,788,OPPO A54 (4GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
792,792,OPPO A54,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
793,793,Oppo A15s (4GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
794,794,itel A56,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
795,795,Xiaomi Redmi 9 Power,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
797,797,POCO M2 Pro,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
798,798,Samsung Galaxy S20 Plus,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
799,799,Realme 6 Pro,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
801,801,Vivo Y11 (2019),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
802,802,Vivo V15 Pro (8GB RAM +128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
803,803,Vivo Y95,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
804,804,Vivo V11i,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
805,805,Samsung Galaxy S9 Plus (128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
808,808,Samsung Galaxy A04 (4GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
811,811,Infinix Hot 20S,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
816,816,Xiaomi Redmi 11 Prime (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
817,817,itel Magic X,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
818,818,Nokia C21 Plus (4GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
820,820,Tecno Camon 19 Neo,Dual Sim,Bluetooth, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
821,821,Realme Narzo 50i Prime,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
823,823,OPPO A57 4G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
824,824,Infinix Note 12 (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
829,829,Infinix Note 12 (G96),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
830,830,Samsung Galaxy M14,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
833,833,Xiaomi Redmi Note 11 Pro 4G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
834,834,Realme Narzo 50A Prime,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
837,837,Vivo Y21T,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
838,838,Gionee K10,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
839,839,Xiaomi Redmi Note 10 Lite (4GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
841,841,Infinix Hot 11S,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
844,844,CAT S22 Flip,Single Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
845,845,Xiaomi Mi 11 Lite (8GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
850,850,Samsung Galaxy M62,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
852,852,Nokia 215 4G,Dual Sim,No data, 3G,4G, VoLTE,No data,No data,No data,No data,No data
854,854,Xiaomi Redmi 9i (4GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
855,855,Realme 6 (6GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
856,856,Samsung Galaxy A01 Core,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
859,859,Oppo A31 2020 (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
860,860,Sony Xperia 10 II,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
861,861,Vivo Y91c,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
862,862,Huawei Nova 7i,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
863,863,Vivo Y19,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
864,864,Vivo U3 (6GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
865,865,Xiaomi Redmi Note 9,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
866,866,Xiaomi Redmi 8 (4GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
867,867,Motorola One Macro,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
868,868,Google Pixel 3a XL,Single Sim,No FM Radio, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
869,869,Samsung Galaxy A40,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
871,871,Huawei Honor 9N,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
872,872,Xiaomi Redmi Note 4,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
873,873,BlackZone Ultra 4G,Dual Sim,No data, 3G,4G, VoLTE,No data,No data,No data,No data,No data
875,875,Huawei Nova Y61,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
878,878,Poco M5 (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
880,880,Tecno Pova Neo 2,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
883,883,Vivo Y15C (3GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
885,885,Huawei Nova Y90,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
887,887,Infinix Note 12 VIP,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
889,889,Realme Narzo 50A Prime (4GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
895,895,Tecno Camon 18,Dual Sim,Bluetooth, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
896,896,Tecno Phantom X Pro,Dual Sim,Bluetooth, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
897,897,Tecno Spark 8T,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
900,900,Realme G1,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
901,901,Tecno Pova 2,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
903,903,Motorola Moto G40 Fusion,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
905,905,Realme 8 (8GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
910,910,OnePlus Nord SE,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
911,911,Samsung Galaxy M12,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
912,912,OnePlus Nord N100,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
915,915,OPPO A15,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
916,916,Xiaomi Redmi Note 9 Pro (4GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
918,918,Oppo A12,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
921,921,Xiaomi Redmi K20 Pro Signature Edition,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
922,922,Xiaomi Redmi Note 8 Pro,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
923,923,Realme A1,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
924,924,OPPO A73,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
925,925,Nokia 3310 4G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
926,926,Lyf Earth 2,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
930,930,iKall K88 Pro 4G,Dual Sim,No data, 3G,4G, VoLTE,No data,No data,No data,No data,No data
931,931,Lava Blaze NXT,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
935,935,Motorola Moto E22s,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
936,936,Xiaomi Redmi A1 Plus (3GB RAM + 32GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
937,937,Infinix Hot 20i,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
938,938,Tecno Spark 9 (3GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
940,940,Honor X6,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
942,942,TCL Ion X,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
948,948,Samsung Galaxy M35,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
949,949,Samsung Galaxy A05,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
950,950,Infinix Note 12 Turbo,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
953,953,Vivo Y55 4G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
956,956,Tecno Spark 8C,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
958,958,Infinix Note 11 (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
963,963,Micromax IN 2B (6GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
965,965,Vivo Y12a,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
969,969,OPPO A54 (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
970,970,Realme 8i,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
972,972,Realme C11 2021,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
973,973,Samsung Galaxy A22,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
976,976,Samsung Galaxy F12,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
977,977,Samsung Galaxy F41 (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
978,978,Samsung Galaxy A21s (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
979,979,Xiaomi Redmi 9A (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
980,980,Vivo V20 SE,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
981,981,OPPO A53 2020 (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
982,982,Realme Narzo 20,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
983,983,itel Vision 1 (3GB RAM + 32GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
984,984,Realme C11,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
986,986,Vivo Y21 (2020),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
987,987,OnePlus Z,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
989,989,Sharp Aquos R5G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
991,991,Samsung Galaxy A11,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
992,992,Realme C2,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
994,994,Samsung Galaxy A9 Pro (2019),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
995,995,Samsung Galaxy A7 (2018),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
996,996,Vivo Y55S,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
997,997,Poco C55,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
999,999,Honor X7a,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
1002,1002,Doogee S99,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
1003,1003,Lava X3,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
1005,1005,iKall Z18,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
1010,1010,Realme Narzo 50i Prime (4GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
